Lever position ;Ship speed (v) ;Gas Turbine (GT);GT rate of revolutions (GTn) ;Starboard Propeller Torque ;Port Propeller Torque (Tp);Hight Pressure (HP);HP Turbine exit pressure;GT Compressor outlet air pressure (P2) [bar]  ;GT exhaust gas pressure (Pexh) ;Turbine Injecton Control (TIC) [%]  ;GT Compressor decay state coefficient  ;FuelFlow
5.14;15;21.627.806;1.924.337;175.272;175.272;690.802;2.085;11.018;1.027;24.275;0.989;0.481
6.175;18;29.763.729;2.306.805;246.015;246.015;757.028;2.509;13.14;1.031;33.228;0.989;0.658
7.148;21;38.997.853;2.678.069;332.335;332.335;807.312;2.977;15.451;1.036;42.799;0.989;0.847
8.206;24;50.993.253;3.087.462;438.027;438.027;904.119;3.588;18.333;1.042;58.871;0.989;1.165
9.3;27;72.774.384;3.560.398;645.019;645.019;1.053.431;4.521;22.498;1.051;87.308;0.989;1.728
1.138;3;637.556;1.335.348;6.606;6.606;455.603;1.109;5.911;1.019;15.226;0.989;0.091
2.088;6;6.936.348;1.370.658;27.13;27.13;599.422;1.33;7.132;1.02;11.59;0.989;0.263
3.144;9;8.376.742;1.386.743;60.331;60.331;570.817;1.391;7.433;1.021;11.695;0.989;0.232
4.161;12;14.719.775;1.547.457;113.756;113.756;624.506;1.661;8.846;1.023;16.47;0.989;0.326
5.14;15;21.627.824;1.924.339;175.269;175.269;689.873;2.085;11.007;1.027;24.221;0.989;0.479
6.175;18;29.764.571;2.306.839;246.01;246.01;755.974;2.508;13.127;1.031;33.158;0.989;0.656
7.148;21;38.997.398;2678.07;332.275;332.275;806.328;2.977;15.434;1.036;42.72;0.989;0.846
8.206;24;50.993.139;3.087.463;437.955;437.955;903.102;3.587;18.313;1.042;58.775;0.989;1.164
9.3;27;72775.5;3.560.398;644.812;644.812;1.052.588;4.52;22.472;1.051;87.206;0.989;1.726
1.138;3;830.792;1364.78;8.249;8.249;449.245;1.119;5.953;1.019;0.0;0.989;0.072
2.088;6;6.918.229;1.369.057;26.845;26.845;598.555;1.329;7.121;1.02;12.677;0.989;0.263
3.144;9;8.376.805;1.386.744;60.331;60.331;570.046;1.391;7.425;1.021;11.662;0.989;0.231
4.161;12;14.719.789;1.547.458;113.732;113.732;623.666;1.661;8.838;1.023;16.429;0.989;0.325
5.14;15;21.628.072;1924.34;175.28;175.28;688.948;2.084;10.996;1.027;24.166;0.989;0.478
6.175;18;29.765.749;2.306.886;245.955;245.955;754.925;2.508;13.114;1.031;33.088;0.989;0.655
7.148;21;38996.92;2.678.072;332.378;332.378;805.348;2.976;15.417;1.036;42.642;0.989;0.844
8.206;24;50.993.119;3.087.461;437.984;437.984;902.087;3.587;18.293;1.042;58.68;0.989;1.162
9.3;27;72.775.657;3.560.405;644.824;644.824;1.051.743;4.519;22.445;1.051;87.103;0.989;1.724
1.138;3;1.263.653;1.381.279;9.205;9.205;460.92;1.138;6.047;1.019;0.0;0.989;0.086
2.088;6;6833.46;1.365.241;26.144;26.144;596.636;1.326;7.096;1.02;14.504;0.989;0.262
3.144;9;8.376.874;1.386.744;60.33;60.33;569.276;1.39;7.418;1.021;11.63;0.989;0.23
4.161;12;14.720.066;1.547.458;113.756;113.756;622.83;1.661;8.829;1.023;16.388;0.989;0.324
5.14;15;21.627.937;1.924.343;175.237;175.237;688.023;2.084;10.985;1.027;24.112;0.989;0.477
6.175;18;29767.44;2306.94;245.983;245.983;753.881;2.508;13.101;1.031;33.019;0.989;0.654
7.148;21;38.996.426;2.678.075;332.365;332.365;804.369;2.975;15.401;1.036;42.563;0.989;0.843
8.206;24;50.993.086;3.087.459;437.978;437.978;901.076;3.586;18.272;1.042;58.585;0.989;1.16
9.3;27;72.775.978;3.560.407;644.828;644.828;1.050.901;4.518;22.419;1.051;87.0;0.989;1.722
1.138;3;2.036.338;1.401.275;10.395;10.395;482.381;1.171;6.219;1.019;0.0;0.989;0.111
2.088;6;6.668.774;1.360.369;25.244;25.244;592.991;1.319;7.057;1.02;16.813;0.989;0.259
3.144;9;8.377.007;1.386.745;60.336;60.336;568.509;1.39;7.411;1.021;11.597;0.989;0.23
4.161;12;14.720.054;1.547.459;113.761;113.761;621.994;1.66;8.82;1.023;16.347;0.989;0.324
5.14;15;21.628.355;1.924.344;175.272;175.272;687.104;2.084;10.974;1.027;24.058;0.989;0.476
6.175;18;29.769.891;2.307.023;245.988;245.988;752.843;2.508;13.088;1.031;32.95;0.989;0.652
7.148;21;38.995.965;2.678.077;332.235;332.235;803.394;2.975;15.384;1.036;42.485;0.989;0.841
8.206;24;50.993.001;3.087.459;438.097;438.097;900.068;3.585;18.252;1.042;58.49;0.989;1.158
9.3;27;72.777.711;3.560.398;645.088;645.088;1.050.068;4.517;22.393;1.051;86.899;0.989;1.72
1.138;3;2.562.739;1.366.964;8.487;8.487;522.096;1.187;6.462;1.019;8.054;0.99;0.156
2.088;6;4.231.917;1.391.974;31.027;31.027;535.888;1.255;6.82;1.02;0.0;0.99;0.166
3.144;9;8.374.256;1.386.723;60.299;60.299;587.744;1.393;7.593;1.02;12.413;0.99;0.246
4.161;12;14.717.877;1.547.443;113.737;113.737;643.055;1.666;9.045;1.023;17.379;0.99;0.344
5.14;15;21.623.527;1.924.305;175.216;175.216;710.332;2.091;11.258;1.026;25.419;0.99;0.503
6.175;18;29.760.822;2.306.838;246.016;246.016;779.432;2.516;13.428;1.03;34.72;0.99;0.687
7.148;21;39.011.126;2677.98;332.441;332.441;827.945;2.991;15.812;1.036;44.465;0.99;0.88
8.206;24;50.983.716;3.087.112;438.007;438.007;925.55;3.605;18.767;1.042;60.882;0.99;1.205
9.3;27;72.755.576;3.560.354;644.967;644.967;1.070.672;4.547;23.073;1.051;89.446;0.99;1.771
1.138;3;3.238.022;1.354.543;7.782;7.782;548.11;1.208;6.587;1.019;15.939;0.99;0.192
2.088;6;4.412.825;1.393.199;31.276;31.276;540.036;1.261;6.845;1.02;0.0;0.99;0.172
3.144;9;8.374.315;1.386.724;60.298;60.298;586.937;1.393;7.585;1.02;12.379;0.99;0.245
4.161;12;14.717.852;1.547.443;113.735;113.735;642.169;1.665;9.036;1.023;17.336;0.99;0.343
5.14;15;21.623.751;1.924.306;175.221;175.221;709.354;2.091;11.246;1.026;25.362;0.99;0.502
6.175;18;29.760.967;2306.84;246.015;246.015;778.309;2.516;13.414;1.03;34.646;0.99;0.686
7.148;21;39.010.419;2.677.986;332.435;332.435;826.904;2.99;15.794;1.036;44.382;0.99;0.879
8.206;24;50.986.336;3087.18;438.011;438.011;924.473;3.604;18.747;1.042;60.784;0.99;1.203
9.3;27;72.756.916;3.560.357;644.675;644.675;1.069.776;4.546;23.046;1.051;89.339;0.99;1.769
1.138;3;3.015.889;1.353.252;7.704;7.704;540.9;1.2;6.537;1.019;16.002;0.99;0.184
2.088;6;4.685.319;1.394.498;31.53;31.53;546.733;1.27;6.89;1.02;0.0;0.99;0.181
3.144;9;8.374.535;1.386.732;60.303;60.303;586.133;1.393;7.578;1.02;12.345;0.99;0.244
4.161;12;14.717.921;1.547.444;113.737;113.737;641.286;1.665;9.027;1.023;17.293;0.99;0.342
5.14;15;21.623.988;1.924.307;175.199;175.199;708.378;2.091;11.235;1.026;25.306;0.99;0.501
6.175;18;29.761.096;2.306.841;246.019;246.019;777.189;2.516;13.4;1.03;34.572;0.99;0.684
7.148;21;39.009.777;2677.99;332.404;332.404;825.866;2.989;15.777;1.036;44.299;0.99;0.877
8.206;24;50.988.144;3.087.241;438.033;438.033;923.397;3.604;18.727;1.042;60.686;0.99;1.201
9.3;27;72757.29;3.560.362;644.924;644.924;1.068.877;4.545;23.018;1.051;89.23;0.99;1.766
1.138;3;3.769.622;1.352.518;7.66;7.66;563.161;1.225;6.672;1.019;16.928;0.99;0.212
2.088;6;4.810.588;1.394.681;31.56;31.56;549.678;1.274;6.912;1.02;0.0;0.99;0.184
3.144;9;8.374.673;1.386.732;60.3;60.3;585.331;1.393;7.57;1.02;12.312;0.99;0.244
4.161;12;14.718.092;1.547.445;113.735;113.735;640.405;1.665;9.018;1.023;17.25;0.99;0.341
5.14;15;21.624.088;1.924.309;175.222;175.222;707.404;2.09;11.223;1.026;25.249;0.99;0.5
6.175;18;29.761.248;2.306.842;246.022;246.022;776.072;2.515;13.386;1.03;34.499;0.99;0.683
7.148;21;39.009.043;2.677.997;332.432;332.432;824.83;2.989;15.76;1.036;44.217;0.99;0.875
8.206;24;50.989.505;3.087.284;437.961;437.961;922.322;3.603;18.706;1.042;60.587;0.99;1.199
9.3;27;72.758.716;3.560.363;644.708;644.708;1.067.987;4.544;22.991;1.051;89.123;0.99;1.764
1.138;3;4.545.013;1.377.606;9.108;9.108;575.86;1.256;6.829;1.019;5.82;0.99;0.219
2.088;6;5.059.838;1.395.106;31.648;31.648;555.783;1.282;6.953;1.02;0.0;0.99;0.192
3.144;9;8.374.727;1.386.733;60.302;60.302;584.529;1.393;7.563;1.02;12.278;0.99;0.243
4.161;12;14718.21;1.547.445;113.737;113.737;639.526;1.665;9.009;1.023;17.208;0.99;0.341
5.14;15;21.624.439;1924.31;175.207;175.207;706.434;2.09;11.212;1.026;25.193;0.99;0.499
6.175;18;29.761.393;2.306.843;245.941;245.941;774.959;2.515;13.372;1.03;34.425;0.99;0.682
7.148;21;39.008.405;2.678.003;332.497;332.497;823.798;2.988;15.742;1.036;44.134;0.99;0.874
8.206;24;50.990.439;3.087.322;437.931;437.931;921.249;3.602;18.685;1.042;60.488;0.99;1.197
9.3;27;72760.06;3.560.362;645.052;645.052;1.067.099;4.543;22.963;1.051;89.016;0.99;1.762
1.138;3;3.835.001;1.388.051;9.705;9.705;553.003;1.235;6.698;1.019;4.74;0.99;0.191
2.088;6;5.274.167;1.395.122;31.658;31.658;561.035;1.289;6.985;1.02;0.0;0.99;0.199
3.144;9;8.374.844;1.386.733;60.303;60.303;583.729;1.393;7.556;1.02;12.244;0.99;0.242
4.161;12;14.718.226;1.547.446;113.737;113.737;638.649;1.665;8.999;1.023;17.165;0.99;0.34
5.14;15;21.624.576;1.924.311;175.198;175.198;705.465;2.09;11.2;1.026;25.137;0.99;0.498
6.175;18;29.761.528;2.306.845;246.014;246.014;773.849;2.515;13.359;1.03;34.352;0.99;0.68
7.148;21;39.007.759;2.678.008;332.365;332.365;822.769;2.987;15.725;1.036;44.052;0.99;0.872
8.206;24;50.991.193;3.087.354;437.969;437.969;920.179;3.601;18.665;1.042;60.39;0.99;1.196
9.3;27;72.760.658;3.560.371;644.705;644.705;1066.21;4.541;22.936;1.051;88.909;0.99;1.76
1.138;3;4.126.684;1.387.296;9.664;9.664;560.671;1.244;6.748;1.019;4.584;0.99;0.2
2.088;6;5.421.971;1.394.628;31.58;31.58;564.301;1.294;7.002;1.02;0.0;0.99;0.203
3.144;9;8.374.954;1.386.734;60.304;60.304;582.932;1.393;7.548;1.02;12.211;0.99;0.242
4.161;12;14.718.289;1.547.446;113.736;113.736;637.774;1.664;8.99;1.023;17.122;0.99;0.339
5.14;15;21624.72;1.924.313;175.2;175.2;704.499;2.089;11.189;1.026;25.081;0.99;0.496
6.175;18;29.761.639;2.306.846;246.022;246.022;772.742;2.514;13.345;1.03;34.279;0.99;0.679
7.148;21;39007.12;2.678.013;332.485;332.485;821.742;2.987;15.708;1.036;43.97;0.99;0.871
8.206;24;50.991.796;3.087.382;437.965;437.965;919.111;3.601;18.644;1.042;60.291;0.99;1.194
9.3;27;72.761.295;3.560.373;645.01;645.01;1.065.323;4.54;22.908;1.051;88.802;0.99;1.758
1.138;3;4727.7;1.381.581;9.325;9.325;577.69;1.263;6.846;1.019;4.819;0.99;0.221
2.088;6;5.692.155;1.394.222;31.5;31.5;571.039;1.302;7.044;1.02;0.0;0.99;0.212
3.144;9;8.375.035;1.386.734;60.31;60.31;582.135;1.392;7.541;1.02;12.177;0.99;0.241
4.161;12;14.718.396;1.547.447;113.73;113.73;636.901;1.664;8.981;1.023;17.08;0.99;0.338
5.14;15;21.624.853;1.924.315;175.212;175.212;703.535;2.089;11.177;1.026;25.025;0.99;0.495
6.175;18;29.761.705;2.306.846;246.001;246.001;771.638;2.514;13.331;1.03;34.206;0.99;0.677
7.148;21;39.006.452;2.678.018;332.357;332.357;820.718;2.986;15.691;1.036;43.889;0.99;0.869
8.206;24;50.992.278;3.087.406;437.996;437.996;918.047;3.6;18.623;1.042;60.192;0.99;1.192
9.3;27;72.762.015;3.560.378;644.881;644.881;1064.44;4.539;22.881;1.051;88.696;0.99;1.756
1.138;3;5231.99;1.370.967;8.708;8.708;594.306;1.276;6.922;1.019;8.172;0.99;0.245
2.088;6;5.677.215;1.394.011;31.47;31.47;569.864;1.301;7.034;1.02;0.0;0.99;0.211
3.144;9;8.375.176;1.386.735;60.311;60.311;581.341;1.392;7.534;1.02;12.143;0.99;0.24
4.161;12;14.718.498;1.547.448;113.737;113.737;636.031;1.664;8.972;1.023;17.038;0.99;0.337
5.14;15;21.625.026;1.924.317;175.232;175.232;702.574;2.089;11.166;1.026;24.969;0.99;0.494
6.175;18;29.761.787;2.306.843;245.977;245.977;770.537;2.514;13.317;1.031;34.133;0.99;0.676
7.148;21;39005.88;2.678.022;332.356;332.356;819.697;2.986;15.674;1.036;43.807;0.99;0.867
8.206;24;50.992.686;3.087.424;437.956;437.956;916.985;3.599;18.603;1.042;60.094;0.99;1.19
9.3;27;72.763.303;3.560.378;644.962;644.962;1.063.563;4.538;22.854;1.051;88.59;0.99;1.754
1.138;3;5.311.404;1.361.019;8.134;8.134;599.158;1.276;6.921;1.019;13.378;0.99;0.254
2.088;6;6.378.543;1.389.482;30.624;30.624;589.171;1.321;7.149;1.02;1.033;0.99;0.238
3.144;9;8.375.216;1.386.735;60.311;60.311;580.547;1.392;7.526;1.02;12.11;0.99;0.24
4.161;12;14.718.546;1.547.448;113.741;113.741;635.163;1.664;8.963;1.023;16.995;0.99;0.336
5.14;15;21.625.364;1.924.318;175.242;175.242;701.616;2.089;11.154;1.026;24.913;0.99;0.493
6.175;18;29.761.868;2.306.836;246.028;246.028;769.44;2.513;13.304;1.031;34.06;0.99;0.674
7.148;21;39.005.265;2.678.027;332.461;332.461;818.679;2.985;15.656;1.036;43.726;0.99;0.866
8.206;24;50.993.003;3.087.439;438.08;438.08;915.927;3.598;18.582;1.042;59.995;0.99;1.188
9.3;27;72.763.907;3.560.384;644.724;644.724;1.062.685;4.537;22.827;1.051;88.483;0.99;1.752
1.138;3;5.020.852;1.350.349;7.52;7.52;593.747;1.264;6.853;1.019;18.084;0.99;0.251
2.088;6;6.283.432;1.390.601;30.831;30.831;585.401;1.319;7.13;1.02;0.0;0.99;0.233
3.144;9;8.375.354;1.386.736;60.314;60.314;579.756;1.392;7.519;1.02;12.077;0.99;0.239
4.161;12;14.718.689;1.547.449;113.737;113.737;634.297;1.664;8.954;1.023;16.953;0.99;0.336
5.14;15;21.625.225;1924.32;175.22;175.22;700.658;2.088;11.143;1.027;24.857;0.99;0.492
6.175;18;29761.97;2.306.825;246.027;246.027;768.346;2.513;13.29;1.031;33.988;0.99;0.673
7.148;21;39.004.587;2.678.033;332.441;332.441;817.663;2.984;15.639;1.036;43.645;0.99;0.864
8.206;24;50.993.244;3.087.451;438.079;438.079;914.871;3.598;18.561;1.042;59.897;0.99;1.186
9.3;27;72.765.083;3.560.382;644.736;644.736;1.061.812;4.536;22.8;1.051;88.378;0.99;1.749
1.138;3;3.817.095;1.338.162;6.831;6.831;563.103;1.223;6.624;1.019;22.687;0.99;0.218
2.088;6;6.537.767;1.387.381;30.235;30.235;592.524;1.325;7.159;1.02;2.52;0.99;0.244
3.144;9;8.375.412;1.386.736;60.314;60.314;578.966;1.392;7.512;1.02;12.043;0.99;0.238
4.161;12;14.718.766;1.547.449;113.746;113.746;633.433;1.663;8.945;1.023;16.911;0.99;0.335
5.14;15;21.625.687;1.924.321;175.249;175.249;699.706;2.088;11.132;1.027;24.802;0.99;0.491
6.175;18;29.762.054;2.306.814;245.953;245.953;767.255;2.512;13.276;1.031;33.915;0.99;0.671
7.148;21;39.004.058;2.678.035;332.456;332.456;816.651;2.984;15.622;1.036;43.564;0.99;0.863
8.206;24;50.993.393;3.087.461;438.067;438.067;913.819;3.597;18.541;1.042;59.799;0.99;1.184
9.3;27;72.765.367;3.560.391;644.907;644.907;1.060.937;4.534;22.772;1.051;88.272;0.99;1.747
1.138;3;2.664.933;1.335.836;6.692;6.692;528.962;1.185;6.398;1.019;22.167;0.99;0.178
2.088;6;6.710.106;1.384.674;29.728;29.728;597.195;1.329;7.179;1.02;4.16;0.99;0.251
3.144;9;8.375.513;1.386.737;60.306;60.306;578.178;1.392;7.505;1.02;12.01;0.99;0.238
4.161;12;14.718.783;1547.45;113.733;113.733;632.571;1.663;8.936;1.023;16.869;0.99;0.334
5.14;15;21.625.753;1.924.323;175.261;175.261;698.754;2.088;11.12;1.027;24.746;0.99;0.49
6.175;18;29.762.139;2.306.799;246.011;246.011;766.167;2.512;13.262;1.031;33.843;0.99;0.67
7.148;21;39.003.427;2678.04;332.316;332.316;815.64;2.983;15.605;1.036;43.483;0.99;0.861
8.206;24;50.993.484;3.087.469;438.077;438.077;912.769;3.596;18.52;1.042;59.702;0.99;1.182
9.3;27;72.766.818;3.560.387;645.042;645.042;1060.07;4.533;22.745;1.051;88.167;0.99;1.745
1.138;3;1687.89;1.341.304;6.983;6.983;494.916;1.15;6.195;1.019;17.043;0.99;0.135
2.088;6;6.654.769;1385.57;29.901;29.901;594.63;1.328;7.165;1.02;3.423;0.99;0.248
3.144;9;8.375.627;1.386.737;60.316;60.316;577.392;1.392;7.497;1.02;11.977;0.99;0.237
4.161;12;14.718.853;1.547.451;113.727;113.727;631.711;1.663;8.927;1.023;16.827;0.99;0.333
5.14;15;21.626.051;1.924.324;175.262;175.262;697.806;2.087;11.109;1.027;24.691;0.99;0.489
6.175;18;29.762.196;2.306.784;245.95;245.95;765.082;2.512;13.249;1.031;33.771;0.99;0.669
7.148;21;39.002.893;2.678.043;332.307;332.307;814.633;2.983;15.588;1.036;43.402;0.99;0.859
8.206;24;50.993.554;3087.47;438.069;438.069;911.723;3.595;18.5;1.042;59.604;0.99;1.18
9.3;27;72.767.837;3.560.391;644.991;644.991;1.059.205;4.532;22.719;1.051;88.063;0.99;1.743
1.138;3;1.328.832;1.346.678;7.267;7.267;479.54;1.137;6.112;1.019;13.134;0.99;0.114
2.088;6;6.806.306;1.382.153;29.259;29.259;598.846;1.331;7.179;1.02;5.488;0.99;0.255
3.144;9;8.375.737;1.386.738;60.319;60.319;576.607;1.392;7.49;1.021;11.943;0.99;0.236
4.161;12;14.718.969;1.547.451;113.749;113.749;630.854;1.663;8.918;1.023;16.785;0.99;0.332
5.14;15;21.626.009;1.924.326;175.262;175.262;696.858;2.087;11.098;1.027;24.635;0.99;0.488
6.175;18;29.762.227;2.306.775;245.983;245.983;764.0;2.511;13.235;1.031;33.699;0.99;0.667
7.148;21;39.002.324;2.678.045;332.402;332.402;813.629;2.982;15.571;1.036;43.322;0.99;0.858
8.206;24;50.993.506;3.087.471;438.088;438.088;910.679;3.595;18.479;1.042;59.507;0.99;1.178
9.3;27;72.767.677;3.560.397;644.776;644.776;1.058.335;4.531;22.692;1.051;87.957;0.99;1.741
1.138;3;1189.03;1.360.025;8.011;8.011;467.846;1.134;6.075;1.019;4.879;0.99;0.095
2.088;6;6.776.147;1.382.715;29.361;29.361;597.101;1.33;7.169;1.02;4.877;0.99;0.253
3.144;9;8.375.846;1.386.739;60.32;60.32;575.824;1.392;7.483;1.021;11.91;0.99;0.236
4.161;12;14.719.011;1.547.452;113.728;113.728;629.998;1.663;8.909;1.023;16.743;0.99;0.331
5.14;15;21.626.323;1.924.327;175.233;175.233;695.915;2.087;11.086;1.027;24.58;0.99;0.487
6.175;18;29.762.226;2.306.762;245.939;245.939;762.922;2.511;13.222;1.031;33.628;0.99;0.666
7.148;21;39.001.753;2.678.049;332.381;332.381;812.627;2.981;15.555;1.036;43.242;0.99;0.856
8.206;24;50.993.461;3087.47;438.019;438.019;909.639;3.594;18.459;1.042;59.409;0.99;1.176
9.3;27;72.768.656;3.560.395;644.868;644.868;1.057.474;4.53;22.665;1.051;87.853;0.99;1.739
1.138;3;1.510.842;1.378.876;9.09;9.09;474.27;1.148;6.148;1.019;1.875;0.99;0.101
2.088;6;6.825.303;1.381.396;29.117;29.117;597.912;1.331;7.167;1.02;6.009;0.99;0.255
3.144;9;8.375.969;1.386.739;60.318;60.318;575.043;1.391;7.476;1.021;11.877;0.99;0.235
4.161;12;14.719.061;1.547.453;113.748;113.748;629.144;1.662;8.9;1.023;16.701;0.99;0.331
5.14;15;21.626.435;1.924.329;175.221;175.221;694.973;2.087;11.075;1.027;24.525;0.99;0.485
6.175;18;29.762.268;2.306.755;245.937;245.937;761.849;2.511;13.208;1.031;33.557;0.99;0.664
7.148;21;39.001.221;2.678.052;332.29;332.29;811.628;2.981;15.538;1.036;43.162;0.99;0.855
8.206;24;50.993.415;3.087.468;438.09;438.09;908.602;3.593;18.438;1.042;59.313;0.99;1.174
9.3;27;72.770.088;3.560.395;644.764;644.764;1.056.618;4.529;22.638;1.051;87.749;0.99;1.737
1.138;3;1.746.506;1.388.679;9.664;9.664;479.617;1.159;6.197;1.019;1.067;0.99;0.106
2.088;6;6.897.136;1379.52;28.773;28.773;599.538;1.333;7.17;1.02;6.966;0.99;0.258
3.144;9;8.376.078;1.386.739;60.324;60.324;574.263;1.391;7.469;1.021;11.844;0.99;0.234
4.161;12;14.719.189;1.547.453;113.751;113.751;628.294;1.662;8.891;1.023;16.66;0.99;0.33
5.14;15;21.626.602;1.924.331;175.219;175.219;694.033;2.086;11.064;1.027;24.47;0.99;0.484
6.175;18;29.762.347;2.306.751;245.935;245.935;760.778;2.51;13.195;1.031;33.486;0.99;0.663
7.148;21;39.000.705;2.678.055;332.419;332.419;810.632;2.98;15.521;1.036;43.082;0.99;0.853
8.206;24;50.993.377;3.087.467;438.048;438.048;907.568;3.592;18.418;1.042;59.216;0.99;1.172
9.3;27;72.770.849;3.560.394;644.984;644.984;1.055.761;4.527;22.611;1.051;87.645;0.99;1.735
1.138;3;2.370.916;1.402.362;10.478;10.478;496.503;1.184;6.331;1.019;0.11;0.99;0.125
2.088;6;6.976.415;1.374.922;27.919;27.919;602.17;1.333;7.171;1.02;9.669;0.99;0.263
3.144;9;8376.13;1386.74;60.324;60.324;573.485;1.391;7.461;1.021;11.811;0.99;0.234
4.161;12;14.719.293;1.547.454;113.745;113.745;627.445;1.662;8.883;1.023;16.618;0.99;0.329
5.14;15;21.626.849;1.924.332;175.219;175.219;693.097;2.086;11.053;1.027;24.416;0.99;0.483
6.175;18;29762.44;2.306.751;246.015;246.015;759.711;2.51;13.181;1.031;33.415;0.99;0.662
7.148;21;39.000.116;2.678.059;332.389;332.389;809.638;2.98;15.504;1.036;43.002;0.99;0.851
8.206;24;50.993.301;3.087.466;438.103;438.103;906.538;3.591;18.398;1.042;59.119;0.99;1.17
9.3;27;72.772.183;3.560.391;645.017;645.017;1.054.909;4.526;22.585;1.051;87.542;0.99;1.733
1.138;3;3.471.532;1.410.902;11.011;11.011;528.203;1.226;6.555;1.019;0.0;0.99;0.163
2.088;6;6.919.279;1.377.042;28.317;28.317;599.205;1.332;7.157;1.02;8.45;0.99;0.259
3.144;9;8.376.278;1.386.741;60.322;60.322;572.708;1.391;7.454;1.021;11.778;0.99;0.233
4.161;12;14719.43;1.547.454;113.748;113.748;626.598;1.662;8.874;1.023;16.577;0.99;0.328
5.14;15;21.627.101;1.924.333;175.266;175.266;692.163;2.086;11.042;1.027;24.361;0.99;0.482
6.175;18;29762.59;2.306.755;245.959;245.959;758.647;2.51;13.168;1.031;33.344;0.99;0.66
7.148;21;38999.62;2.678.061;332.406;332.406;808.647;2.979;15.487;1.036;42.923;0.99;0.85
8.206;24;50.993.275;3.087.464;438.09;438.09;905.511;3.591;18.377;1.042;59.023;0.99;1.168
9.3;27;72.772.326;3560.4;644.763;644.763;1.054.055;4.525;22.558;1.051;87.438;0.99;1.731
1.138;3;5.529.165;1.398.358;10.271;10.271;586.511;1.291;6.919;1.019;0.488;0.99;0.234
2.088;6;6.959.379;1.371.483;27.282;27.282;601.042;1.332;7.151;1.02;11.45;0.99;0.264
3.144;9;8.376.371;1.386.741;60.326;60.326;571.933;1.391;7.447;1.021;11.745;0.99;0.232
4.161;12;14.719.493;1.547.455;113.735;113.735;625.753;1.662;8.865;1.023;16.535;0.99;0.327
5.14;15;21.627.336;1.924.335;175.268;175.268;691.231;2.086;11.031;1.027;24.306;0.99;0.481
6.175;18;29.762.851;2.306.763;245.955;245.955;757.587;2.509;13.155;1.031;33.273;0.99;0.659
7.148;21;38.999.053;2.678.064;332.355;332.355;807.658;2.978;15.471;1.036;42.844;0.99;0.848
8.206;24;50.993.256;3.087.461;437.997;437.997;904.486;3.59;18.357;1.042;58.927;0.99;1.167
9.3;27;72.773.455;3.560.399;645.123;645.123;1.053.207;4.524;22.531;1.051;87.335;0.99;1.729
1.138;3;6637.34;1.345.562;7.217;7.217;628.527;1.309;7.044;1.019;19.224;0.99;0.299
2.088;6;6.938.863;1.373.026;27.566;27.566;599.202;1.331;7.142;1.02;10.536;0.99;0.262
3.144;9;8.376.506;1.386.742;60.316;60.316;571.16;1.391;7.44;1.021;11.712;0.99;0.232
4.161;12;14.719.486;1.547.456;113.756;113.756;624.909;1.661;8.856;1.023;16.494;0.99;0.327
5.14;15;21.627.249;1.924.337;175.274;175.274;690.3;2.085;11.019;1.027;24.252;0.99;0.48
6.175;18;29.763.236;2.306.779;245.954;245.954;756.529;2.509;13.142;1.031;33.203;0.99;0.657
7.148;21;38.998.552;2.678.067;332.393;332.393;806.673;2.978;15.454;1.036;42.764;0.99;0.847
8.206;24;50.993.212;3087.46;438.095;438.095;903.466;3.589;18.337;1.042;58.832;0.99;1.165
9.3;27;72.774.263;3.560.396;644.846;644.846;1052.36;4.523;22.505;1.051;87.232;0.99;1.727
1.138;3;1.711.128;1.319.469;5.747;5.747;498.4;1.148;6.147;1.019;25.508;0.99;0.148
2.088;6;6.881.738;1.366.278;26.33;26.33;598.855;1.328;7.118;1.02;14.058;0.99;0.264
3.144;9;8.376.582;1.386.742;60.325;60.325;570.388;1.391;7.433;1.021;11.679;0.99;0.231
4.161;12;14719.6;1.547.456;113.757;113.757;624.069;1.661;8.847;1.023;16.452;0.99;0.326
5.14;15;21.627.647;1.924.338;175.23;175.23;689.374;2.085;11.008;1.027;24.197;0.99;0.479
6.175;18;29.763.798;2.306.801;246.015;246.015;755.474;2.509;13.128;1.031;33.133;0.99;0.656
7.148;21;38.998.097;2.678.068;332.325;332.325;805.69;2.977;15.437;1.036;42.686;0.99;0.845
8.206;24;50.993.123;3.087.461;438.089;438.089;902.448;3.588;18.316;1.042;58.736;0.99;1.163
9.3;27;72.774.566;3.560.402;644.786;644.786;1.051.513;4.522;22.478;1.051;87.129;0.99;1.725
1.138;3;536.9;1.347.168;7.249;7.249;444.731;1.106;5.883;1.019;8.399;0.99;0.073
2.088;6;6.773.915;1363.11;25.742;25.742;596.171;1.323;7.092;1.02;15.749;0.99;0.262
3.144;9;8.376.692;1.386.743;60.326;60.326;569.618;1.391;7.426;1.021;11.646;0.99;0.231
4.161;12;14.719.734;1.547.457;113.758;113.758;623.23;1.661;8.839;1.023;16.411;0.99;0.325
5.14;15;21.627.793;1924.34;175.251;175.251;688.448;2.085;10.997;1.027;24.143;0.99;0.478
6.175;18;29.764.622;2.306.838;245.971;245.971;754.424;2.509;13.115;1.031;33.062;0.99;0.655
7.148;21;38.997.602;2.678.071;332.383;332.383;804.71;2.977;15.421;1.036;42.607;0.99;0.844
